"lat","long","depth","mag","stations","order"
-31.03,181.59,57,5.2,49,746
-30.51,181.3,203,4.4,20,747
-22.55,183.34,66,4.6,18,748
-22.14,180.64,591,4.5,18,749
-25.6,180.3,440,4,12,750
-18.04,181.84,611,4.2,20,751
-21.29,185.77,57,5.3,69,752
-21.08,180.85,627,5.9,119,753
-20.64,169.66,89,4.9,42,754
-24.41,180.03,500,4.5,34,755
-12.16,167.03,264,4.4,14,756
-17.1,185.9,127,5.4,75,757
-21.13,185.6,85,5.3,86,758
-12.34,167.43,50,5.1,47,759
-16.43,186.73,75,4.1,20,760
-20.7,184.3,182,4.3,17,761
-21.18,180.92,619,4.5,18,762
-17.78,185.33,223,4.1,10,763
-21.57,183.86,156,5.1,70,764
-13.7,166.75,46,5.3,71,765
-12.27,167.41,50,4.5,29,766
-19.1,184.52,230,4.1,16,767
-19.85,184.51,184,4.4,26,768
-11.37,166.55,188,4.7,24,769
-20.7,186.3,80,4,10,770
-20.24,185.1,86,5.1,61,771
-16.4,182.73,391,4,16,772
-19.6,184.53,199,4.3,21,773
-21.63,180.77,592,4.3,21,774
-21.6,180.5,595,4,22,775
-21.77,181,618,4.1,10,776
-21.8,183.6,213,4.4,17,777
-21.05,180.9,616,4.3,10,778
-10.8,165.8,175,4.2,12,779
-17.9,181.5,589,4,12,780
-22.26,171.44,83,4.5,25,781
-22.33,171.46,119,4.7,32,782
-24.04,184.85,70,5,48,783
-20.4,186.1,74,4.3,22,784
-15,184.62,40,5.1,54,785
-27.87,183.4,87,4.7,34,786
-14.12,166.64,63,5.3,69,787
-23.61,180.27,537,5,63,788
-21.56,185.5,47,4.5,29,789
-21.19,181.58,490,5,77,790
-18.07,181.65,593,4.1,16,791
-26,178.43,644,4.9,27,792
-20.21,181.9,576,4.1,16,793
-28,182,199,4,16,794
-20.74,180.7,589,4.4,27,795
-31.8,180.6,178,4.5,19,796
-18.91,169.46,248,4.4,33,797
-20.45,182.1,500,4.5,37,798
-22.9,183.8,71,4.3,19,799
-18.11,181.63,568,4.3,36,800
-23.8,184.7,42,5,36,801
-23.42,180.21,510,4.5,37,802
-23.2,184.8,97,4.5,13,803
-12.93,169.52,663,4.4,30,804
-21.14,181.06,625,4.5,35,805
-19.13,184.97,210,4.1,22,806
-21.08,181.3,557,4.9,78,807
-20.07,181.75,582,4.7,27,808
-20.9,182.02,402,4.3,18,809
-25.04,179.84,474,4.6,32,810
-21.85,180.89,577,4.6,43,811
-19.34,186.59,56,5.2,49,812
-15.83,167.1,43,4.5,19,813
-23.73,183,118,4.3,11,814
-18.1,181.72,544,4.6,52,815
-22.12,180.49,532,4,14,816
-15.39,185.1,237,4.5,39,817
-16.21,186.52,111,4.8,30,818
-21.75,180.67,595,4.6,30,819
-22.1,180.4,603,4.1,11,820
-24.97,179.54,505,4.9,50,821
-19.36,186.36,100,4.7,40,822
-22.14,179.62,587,4.1,23,823
-21.48,182.44,364,4.3,20,824
-18.54,168.93,100,4.4,17,825
-21.62,182.4,350,4,12,826
-13.4,166.9,228,4.8,15,827
-15.5,185.3,93,4.4,25,828
-15.67,185.23,66,4.4,34,829
-21.78,183.11,225,4.6,21,830
-30.63,180.9,334,4.2,28,831
-15.7,185.1,70,4.1,15,832
-19.2,184.37,220,4.2,18,833
-19.7,182.44,397,4,12,834
-19.4,182.29,326,4.1,15,835
-15.85,185.9,121,4.1,17,836
-17.38,168.63,209,4.7,29,837
-24.33,179.97,510,4.8,44,838
-20.89,185.26,54,5.1,44,839
-18.97,169.44,242,5,41,840
-17.99,181.62,574,4.8,38,841
-15.8,185.25,82,4.4,39,842
-25.42,182.65,102,5,36,843
-21.6,169.9,43,5.2,56,844
-26.06,180.05,432,4.2,19,845
-17.56,181.23,580,4.1,16,846
-25.63,180.26,464,4.8,60,847
-25.46,179.98,479,4.5,27,848
-22.23,180.48,581,5,54,849
-21.55,181.39,513,5.1,81,850
-15.18,185.93,77,4.1,16,851
-13.79,166.56,68,4.7,41,852
-15.18,167.23,71,5.2,59,853
-18.78,186.72,68,4.8,48,854
-17.9,181.41,586,4.5,33,855
-18.5,185.4,243,4,11,856
-14.82,171.17,658,4.7,49,857
-15.65,185.17,315,4.1,15,858
-30.01,181.15,210,4.3,17,859
-13.16,167.24,278,4.3,17,860
-21.03,180.78,638,4,14,861
-21.4,180.78,615,4.7,51,862
-17.93,181.89,567,4.1,27,863
-20.87,181.7,560,4.2,13,864
-12.01,166.66,99,4.8,36,865
-19.1,169.63,266,4.8,31,866
-22.85,181.37,397,4.2,15,867
-17.08,185.96,180,4.2,29,868
-21.14,174.21,40,5.7,78,869
-12.23,167.02,242,6,132,870
-20.91,181.57,530,4.2,20,871
-11.38,167.05,133,4.5,32,872
-11.02,167.01,62,4.9,36,873
-22.09,180.58,580,4.4,22,874
-17.8,181.2,530,4,15,875
-18.94,182.43,566,4.3,20,876
-18.85,182.2,501,4.2,23,877
-21.91,181.28,548,4.5,30,878
-22.03,179.77,587,4.8,31,879
-18.1,181.63,592,4.4,28,880
-18.4,184.84,221,4.2,18,881
-21.2,181.4,560,4.2,12,882
-12,166.2,94,5,31,883
-11.7,166.3,139,4.2,15,884
-26.72,182.69,162,5.2,64,885
-24.39,178.98,562,4.5,30,886
-19.64,169.5,204,4.6,35,887
-21.35,170.04,56,5,22,888
-22.82,184.52,49,5,52,889
-38.28,177.1,100,5.4,71,890
-12.57,167.11,231,4.8,28,891
-22.24,180.28,601,4.2,21,892
-13.8,166.53,42,5.5,70,893
-21.07,183.78,180,4.3,25,894
-17.74,181.25,559,4.1,16,895
-23.87,180.15,524,4.4,22,896
-21.29,185.8,69,4.9,74,897
-22.2,180.58,594,4.5,45,898
-15.24,185.11,262,4.9,56,899
-17.82,181.27,538,4,33,900
-32.14,180,331,4.5,27,901
-19.3,185.86,48,5,40,902
-33.09,180.94,47,4.9,47,903
-20.18,181.62,558,4.5,31,904
-17.46,181.42,524,4.2,16,905
-17.44,181.33,545,4.2,37,906
-24.71,179.85,477,4.2,34,907
-21.53,170.52,129,5.2,30,908
-19.17,169.53,268,4.3,21,909
-28.05,182.39,117,5.1,43,910
-23.39,179.97,541,4.6,50,911
-22.33,171.51,112,4.6,14,912
-15.28,185.98,162,4.4,36,913
-20.27,181.51,609,4.4,32,914
-10.96,165.97,76,4.9,64,915
-21.52,169.75,61,5.1,40,916
-19.57,184.47,202,4.2,28,917
-23.08,183.45,90,4.7,30,918
-25.06,182.8,133,4,14,919
-17.85,181.44,589,5.6,115,920
-15.99,167.95,190,5.3,81,921
-20.56,184.41,138,5,82,922
-17.98,181.61,598,4.3,27,923
-18.4,181.77,600,4.1,11,924
-27.64,182.22,162,5.1,67,925
-20.99,181.02,626,4.5,36,926
-14.86,167.32,137,4.9,22,927
-29.33,182.72,57,5.4,61,928
-25.81,182.54,201,4.7,40,929
-14.1,166.01,69,4.8,29,930
-17.63,185.13,219,4.5,28,931
-23.47,180.21,553,4.2,23,932
-23.92,180.21,524,4.6,50,933
-20.88,185.18,51,4.6,28,934
-20.25,184.75,107,5.6,121,935
-19.33,186.16,44,5.4,110,936
-18.14,181.71,574,4,20,937
-22.41,183.99,128,5.2,72,938
-20.77,181.16,568,4.2,12,939
-17.95,181.73,583,4.7,57,940
-20.83,181.01,622,4.3,15,941
-27.84,182.1,193,4.8,27,942
-19.94,182.39,544,4.6,30,943
-23.6,183.99,118,5.4,88,944
-23.7,184.13,51,4.8,27,945
-30.39,182.4,63,4.6,22,946
-18.98,182.32,442,4.2,22,947
-27.89,182.92,87,5.5,67,948
-23.5,184.9,61,4.7,16,949
-23.73,184.49,60,4.7,35,950
-17.93,181.62,561,4.5,32,951
-35.94,178.52,138,5.5,78,952
-18.68,184.5,174,4.5,34,953
-23.47,179.95,543,4.1,21,954
-23.49,180.06,530,4,23,955
-23.85,180.26,497,4.3,32,956
-27.08,183.44,63,4.7,27,957
-20.88,184.95,82,4.9,50,958
-20.97,181.2,605,4.5,31,959
-21.71,183.58,234,4.7,55,960
-23.9,184.6,41,4.5,22,961
-15.78,167.44,40,4.8,42,962
-12.57,166.72,137,4.3,20,963
-19.69,184.23,223,4.1,23,964
-22.04,183.95,109,5.4,61,965
-17.99,181.59,595,4.1,26,966
-23.5,180.13,512,4.8,40,967
-21.4,180.74,613,4.2,20,968
-15.86,166.98,60,4.8,25,969
-23.95,184.64,43,5.4,45,970
-25.79,182.38,172,4.4,14,971
-23.75,184.5,54,5.2,74,972
-24.1,184.5,68,4.7,23,973
-18.56,169.05,217,4.9,35,974
-23.3,184.68,102,4.9,27,975
-17.03,185.74,178,4.2,32,976
-20.77,183.71,251,4.4,47,977
-28.1,183.5,42,4.4,17,978
-18.83,182.26,575,4.3,11,979
-23,170.7,43,4.9,20,980
-20.82,181.67,577,5,67,981
-22.95,170.56,42,4.7,21,982
-28.22,183.6,75,4.9,49,983
-27.99,183.5,71,4.3,22,984
-15.54,187.15,60,4.5,17,985
-12.37,166.93,291,4.2,16,986
-22.33,171.66,125,5.2,51,987
-22.7,170.3,69,4.8,27,988
-17.86,181.3,614,4,12,989
-16,184.53,108,4.7,33,990
-20.73,181.42,575,4.3,18,991
-15.45,181.42,409,4.3,27,992
-20.05,183.86,243,4.9,65,993
-17.95,181.37,642,4,17,994
-17.7,188.1,45,4.2,10,995
-25.93,179.54,470,4.4,22,996
-12.28,167.06,248,4.7,35,997
-20.13,184.2,244,4.5,34,998
-17.4,187.8,40,4.5,14,999
-21.59,170.56,165,6,119,1000
